WBAN Number|WMO Number|Call Sign|Climate Division Code|Climate Division State Code|Climate Division Station Code|Name|Location|Address|Latitude|Longitude|Ground Height|Station Height|Barometer Height|Time Zone
03011||TEX||||TELLURIDE, CO|TELLURIDE REGIONAL AIRPORT||37.57|-107.55|0|0|0|
03012||SKX||||TAOS, NM|TAOS REGIONAL AIRPORT||36.28|-105.4|0|0|0|
03013||LAA||||LAMAR, CO|LAMAR MUNICIPAL AIRPORT||38.04|-102.41|3683|3703|3675|
03014||4SL||||TORREON, NM|Torreon||35.47|-107.14|0|6909|0|
03016||RIL||||RIFLE, CO|GARFIELD CO REGIONAL ARPT||39.32|-107.44|5503|5544|5506|
03017|72469|DEN|04|05|2220|DENVER, CO|DENVER INTERNATIONAL ARPT|NAT'L WEA SER OFC*10230 SMITH ROAD*DENVER, CO 80239-3238|39.50|-104.4|5379|5431|5382|
03024||BGD||||BORGER, TX|HUTCHINSON COUNTY AIRPORT||35.42|-101.23|3038|3054|3041|
03026||ITR||||BURLINGTON, CO|KIT CARSON COUNTY AIRPORT||39.14|-102.17|4195|4217|4198|
03027||CQC||||CLINES CORNERS, NM|CLINES CORNERS||35.00|-105.4|7089|7086|7092|
03028||SPD||||SPRINGFIELD, CO|SPRINGFIELD AIRPORT||37.17|-102.37|4383|4380|4386|
03029||RQE||||WINDOW ROCK, AZ|WINDOW ROCK AIRPORT||35.40|-109.04|6742|6739|6745|
03030||GUY||||GUYMON, OK|GUYMON MUNICIPAL AIRPORT||36.41|-101.31|3115|3112|3118|
03031||ODO||||ODESSA, TX|ODESSA-SCHLEMEYER FLD ARPT||31.55|-102.23|2959|3001|2962|
03032||6R6||||DRYDEN, TX|TERRELL COUNTY AIRPORT||30.03|-102.13|2304|2301|2307|
03034||AEG||||ALBUQUERQUE, NM|DOUBLE EAGLE II AIRPORT||35.09|-106.48|0|0|0|
03035||ATS||||ARTESIA, NM|ARTESIA MUNICIPAL AIRPORT||32.51|-104.28|0|0|0|
03036||BDG||||BLANDING, UT|BLANDING MUNICIPAL AIRPORT||37.35|-109.29|0|5865|0|
03037||CBK||||COLBY, KS|SHALTZ FIELD AIRPORT||39.26|-101.03|0|0|0|
03038||CCU||||COPPER MOUNTAIN, CO|COPPER MOUNTAIN AWOS-3 APT||39.28|-106.09|0|12074|0|
03039||CPW||||WOLF CREEK PASS, CO|WOLF CREEP PASS AWOS-3 APT||37.27|-106.48|0|0|0|
03040||MNH||||MONUMENT HILL, CO|MONUMENT HILL AWOS-3 ARPT||39.13|-104.38|0|0|0|
03041||MYP||||MONARCH PASS, CO|MONARCH PASS AWOS-3 ARPT||38.29|-106.19|0|0|0|
03042||VTP||||LA VETA PASS, CO|LA VETA PASS AWOS-3 ARPT||37.30|-105.1|0|0|0|
03043||ADT||||ATWOOD, KS|ATWOOD-RAWLNS CO CTY CO AP||39.50|-101.02|0|2991|0|
03044||BPG||||BIG SPRING, TX|BIG SRNG MCMHN-WRKLE ARPT||32.19|-101.31|0|2573|0|
03045||PYX||||PERRYTON, TX|PERRYTON OCHILTREE CO ARPT||36.25|-100.45|0|2918|0|
03049||E38||||ALPINE, TX|ALPINE-CASPARIS MUNI ARPT||30.23|-103.41|0|4315|0|
03050||SNK||||SNYDER, TX|WINSTON FIELD AIRPORT||32.41|-100.57|0|2430|0|
03051||3K7||||LEOTI, KS|MARK HOARD MEMORIAL ARPT||38.28|-101.21|0|3303|0|
03052||PPA||||PAMPA, TX|PERRY LEFORS FIELD AIRPORT||35.37|-101|0|3245|0|
03053||5T6||||SANTA TERESA, NM|DONA ANA COUNTY AIRPORT AT SAN||31.53|-106.42|0|4112|0|
03056||GNC||||SEMINOLE, TX|Gaines County Airport||32.41|-102.39|0|3315|0|
03058||PEQ||||PECOS, TX|Pecos Municipal Airport||31.23|-103.31|0|2613|0|
03059||SOA||||SONORA, TX|Sonora Municipal Airport||30.35|-100.39|0|2140|0|
03065||BJC||||DENVER, CO|Jeffco Airport||39.55|-105.07|0|5670|0|
03101||SOW||||SHOW LOW, AZ|Show Low Municipal Airport||34.16|-110.01|0|6415|0|
03102||ONT||||ONTARIO, CA|ONTARIO INTERNATIONAL ARPT||34.04|-117.36|901|905|904|
03103|72375|FLG|02|02|3010|FLAGSTAFF, AZ|FLAGSTAFF PULLIAM AIRPORT||35.08|-111.4|7000|7018|7003|
03104||TRM|07|04|8892|PALM SPRINGS, CA|DESERT RESORTS RGNL ARPT||33.38|-116.1|-119|-117|-116|
03124||FHU||||FORT HUACHUCA SIERRA VISTA, AZ|Sierra Vista Municipal-Libby A||31.35|-110.2|0|4719|0|
03131||MYF||||SAN DIEGO, CA|MONTGOMERY FIELD AIRPORT||32.49|-117.08|446|423|449|
03144||IPL||||IMPERIAL, CA|IMPERIAL COUNTY AIRPORT||32.50|-115.35|-56|-56|-56|
03145|722805|NYL||||YUMA, AZ|YUMA MCAS|ATTN  WEATHER SERVICE OFFICER*STATION OPS AND MAINT SQDN*BOX 99200*YUMA  AZ  85369-9220|32.39|-114.37|213|213|214|
03148||GBN||||GILA BEND, AZ|Gila Bend AF Aux Airport||32.53|-112.43|0|858|0|
03154|722926|NFG||||CAMP PENDLETON, CA|MARINE CORPS AIR STATION|ATTN  WEATHER SERVICE OFFICER*MARINE CORPS AIR STATION*BOX 555151* CAMP PENDLETON  CA  92055-6001|33.18|-117.21|660|78|71|
03159||WJF|07|04|4749|LANCASTER, CA|GENERAL WM J FOX AIRFLD AP||34.44|-118.13|2368|2339|2371|
03160|72387|DRA|04|26|2251|MERCURY, NV|DESERT ROCK AIRPORT||36.37|-116.02|3299|3310|3302|
03162|72371|PGA||||PAGE, AZ|PAGE MUNICIPAL AIRPORT||36.56|-111.27|4289|4310|4292|
03163||P38||||CALIENTE, NV|CALIENTE AIRPORT|SITE CLOSED 11/20/1530Z/02|37.37|-114.32|4372|4373|4375|
03164||CZZ||||CAMPO, CA|CAMPO||32.37|-116.28|2612|2615|2615|
